[1.35144645 1.38582677 1.51181102 1.51438335]   [0.18075009 0.0431289  0.04318525 0.22856665]
[6.9117678  6.9255556  7.07225672 7.04240126]   [5.85951934 5.73784632 5.72115875 5.87753987]
[4.68513514 4.60272837 4.68944832 4.74300794]   [0.55755865 0.48259164 0.39737534 0.49559981]
[7.77700504 7.77050198 7.88328478 7.89175752]   [2.60101454 2.49128652 2.46773869 2.5909981 ]
[7.4706644  7.38292426 7.34869977 7.49486395]   [ 0.14378541  0.12229057  0.03134226 -0.00237902]
[4.84727656 4.82642736 4.95546048 4.9810347 ]   [5.92335249 5.80401131 5.76613038 5.89006509]
[4.10978206 4.00212548 4.0024074  4.11634555]   [3.3654945  3.33858268 3.21259842 3.2444342 ]
[4.09794357 4.22990364 4.24453306 4.14249816]   [1.19685039 1.18958612 1.32407045 1.32283465]
[2.29710074 2.16935527 2.1302902  2.28955089]   [0.43533611 0.44495824 0.328841   0.28476062]
[7.28028036 7.18570441 7.07225672 7.17611058]   [5.70789018 5.77249238 5.72115875 5.60926912]
[ 0.13550676  0.00244143 -0.04239173  0.13144345]   [1.00763815 1.00787402 0.88188976 0.84386378]
[0.08969673 0.         0.12598425 0.20060398]   [ 0.13005752  0.         -0.07938451  0.05711663]
[8.16603938 8.03336033 7.98882801 8.11118757]   [0.31496063 0.34080427 0.24032059 0.18897638]
[7.88976378 7.79399682 7.88760083 7.99886447]   [6.09083815 5.97172884 5.88253103 5.97455294]
[3.54977656 3.54799539 3.68262105 3.67573376]   [0.75893284 0.63626141 0.67310117 0.76316156]
[2.13349166 2.08076875 1.96366712 1.99636363]   [2.70866142 2.83464567 2.81776303 2.69713008]
[4.11634555 4.0024074  4.00268932 4.12603753]   [3.2444342  3.21259842 3.08661417 3.12245686]
[0.90551181 0.77952756 0.7207419  0.8269343 ]   [3.02245783 3.04290127 2.92700737 2.88161868]
[2.00999968 2.1302902  2.16935527 2.03565477]   [0.34983468 0.328841   0.44495824 0.46534812]
[1.47110878 1.41426779 1.51131431 1.5798478 ]   [0.59493154 0.50025835 0.43571005 0.53661699]
[0.58235254 0.48805803 0.44350032 0.52978932]   [1.74705561 1.78791748 1.69675831 1.65607155]
[2.03565477 1.91880415 1.89009705 2.00999968]   [0.46534812 0.48432873 0.37848006 0.34983468]
[7.66664941 7.77638746 7.77899903 7.67229741]   [3.07869639 3.07745941 3.19892386 3.19346777]
[1.79973724 1.70924473 1.58748742 1.67105941]   [0.76514195 0.89183123 0.82143901 0.73451417]
[0.96796572 0.91862214 0.73862462 0.85243991]   [1.94582205 2.0725581  2.00817047 1.86891205]
[0.73862462 0.56375101 0.53130171 0.64997646]   [2.00817047 2.02865134 1.90212261 1.85164234]
[6.54363361 6.44694063 6.47763541 6.58019194]   [5.35358443 5.31205928 5.21664194 5.25550276]
[3.43633587 3.41965702 3.55133519 3.57166357]   [0.38991717 0.26556429 0.25192442 0.37359647]
[2.18371054 2.16935527 2.29710074 2.31151607]   [0.56100195 0.44495824 0.43533611 0.54572143]
[1.09742667 1.06042745 0.93024605 0.96979989]   [0.13362855 0.24177511 0.20769551 0.09554052]
[1.81334961 1.69717681 1.79490406 1.88093426]   [1.14089222 1.06852574 0.95981026 1.02453538]
[1.9592562  1.79973724 1.77881148 1.93259422]   [0.71159339 0.76514195 0.58718905 0.59174442]
[5.59662111 5.5920697  5.43409026 5.460087  ]   [5.0184877  5.18752491 5.13570363 5.01929878]
[1.93259422 1.91880415 2.03565477 2.06057807]   [0.59174442 0.48432873 0.46534812 0.57728946]
[2.28955089 2.35360818 2.46874991 2.44642929]   [0.28476062 0.17360654 0.19751288 0.30693282]
[0.56375101 0.43633203 0.42003795 0.53130171]   [2.02865134 2.03450507 1.92399429 1.90212261]
[1.91880415 1.83193892 1.78798771 1.89009705]   [0.48432873 0.48744499 0.41889135 0.37848006]
[7.18110236 7.2240817  7.09731351 7.05511811]   [-0.0604028   0.06922896  0.11553298 -0.01604066]
[7.83601312 7.98113489 7.96951698 7.82175482]   [4.18944978 4.22047244 4.34645669 4.33232765]
[2.16935527 2.18371054 2.06057807 2.03565477]   [0.44495824 0.56100195 0.57728946 0.46534812]
[6.75590551 6.68295512 6.79593978 6.82678394]   [5.96986651 5.8022328  5.74245851 5.84914039]
[8.07520458 7.94550433 7.89567657 8.03110041]   [5.22834645 5.27681302 5.15222203 5.1023622 ]
[4.61417323 4.56179207 4.7157775  4.74015748]   [6.12882656 5.99374145 5.95599067 6.08488617]
[5.43409026 5.37526736 5.26795451 5.33087014]   [5.13570363 5.23552989 5.17736802 5.08227982]
